Precinct County Code	Precinct County Name	Precinct Election Number	Precinct Election Date	Precinct Election Name	Precinct Unique Precinct Identifier	Precinct Precinct Polling Location	Precinct Total Registered Voters	Precinct Total Registered Republicans	Precinct Total Registered Democrats	Precinct Total Registered All Other Parties	Contest Contest Name	Contest District	Contest Contest Code	Votes Candidate/Retention/Issue Name/WriteInsCast/OverVotes/UnderVotes	Votes Candidate Party	Votes Candidate Florida Voter Registration System ID Number	Votes DOE Assigned Candidate Number or Retention/Issue Number	Votes Vote Total
HIL	Hillsborough	10866	11/03/2020	2020 General Election	833	833	2022	0	0	0	State Senator	 District 19	240190	Darryl Ervin Rouson	DEM	107152960	69588	874
HIL	Hillsborough	10866	11/03/2020	2020 General Election	833	833	2022	0	0	0	State Senator	 District 19	240190	Christina Paylan	NPA	111249592	74568	416
HIL	Hillsborough	10866	11/03/2020	2020 General Election	833	833	2022	0	0	0	State Senator	 District 19	240190	OverVotes	 	0	901	3
HIL	Hillsborough	10866	11/03/2020	2020 General Election	833	833	2022	0	0	0	State Senator	 District 19	240190	UnderVotes	 	0	902	140
LEE	Lee	26906	11/08/2022	2022 General Election	101	101	10250	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	3583
LEE	Lee	26906	11/08/2022	2022 General Election	102	102	3907	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	1348
LEE	Lee	26906	11/08/2022	2022 General Election	103	103	5220	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	1714
LEE	Lee	26906	11/08/2022	2022 General Election	104	104	5363	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	1814
LEE	Lee	26906	11/08/2022	2022 General Election	105	105	3351	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	1184
LEE	Lee	26906	11/08/2022	2022 General Election	106	106	4584	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	1519
LEE	Lee	26906	11/08/2022	2022 General Election	107	107	8398	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	3079
LEE	Lee	26906	11/08/2022	2022 General Election	108	108	6973	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	2930
LEE	Lee	26906	11/08/2022	2022 General Election	109	109	3514	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	1381
LEE	Lee	26906	11/08/2022	2022 General Election	110	110	8787	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	2777
LEE	Lee	26906	11/08/2022	2022 General Election	111	111	5249	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	1757
LEE	Lee	26906	11/08/2022	2022 General Election	112	112	6297	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	2555
LEE	Lee	26906	11/08/2022	2022 General Election	113	113	4042	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	1873
LEE	Lee	26906	11/08/2022	2022 General Election	114	114	4455	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	2140
LEE	Lee	26906	11/08/2022	2022 General Election	115	115	4041	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	1934
LEE	Lee	26906	11/08/2022	2022 General Election	116	116	2700	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	983
LEE	Lee	26906	11/08/2022	2022 General Election	117	117	5005	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	1327
LEE	Lee	26906	11/08/2022	2022 General Election	118	118	6386	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	2308
LEE	Lee	26906	11/08/2022	2022 General Election	119	119	7202	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	2848
LEE	Lee	26906	11/08/2022	2022 General Election	120	120	5549	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	1868
LEE	Lee	26906	11/08/2022	2022 General Election	121	121	4511	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	2182
LEE	Lee	26906	11/08/2022	2022 General Election	122	122	1086	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	524
LEE	Lee	26906	11/08/2022	2022 General Election	201	201	2888	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	1387
LEE	Lee	26906	11/08/2022	2022 General Election	202	202	12673	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	6131
LEE	Lee	26906	11/08/2022	2022 General Election	203	203	3427	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	1339
LEE	Lee	26906	11/08/2022	2022 General Election	204	204	4158	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	1592
LEE	Lee	26906	11/08/2022	2022 General Election	205	205	3127	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	1725
LEE	Lee	26906	11/08/2022	2022 General Election	206	206	3326	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	1572
LEE	Lee	26906	11/08/2022	2022 General Election	207	207	2415	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	1136
LEE	Lee	26906	11/08/2022	2022 General Election	208	208	3685	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	1331
LEE	Lee	26906	11/08/2022	2022 General Election	209	209	5072	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	1969
LEE	Lee	26906	11/08/2022	2022 General Election	210	210	8184	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	2522
LEE	Lee	26906	11/08/2022	2022 General Election	211	211	2764	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	1006
